Kingdom;Phylum;Class;Order;Family;Genus;Species;GenerationLength_d;FrT;Hib;Daily;Mars;Mono;residuals
Animalia;Chordata;Mammalia;Carnivora;Felidae;Felis;Felis_margarita;1730.465;0.190144323619299;0;0;0;0;-0.0102325753072958
NA;NA;NA;NA;NA;Panthera;Panthera_uncia;2920;0.183862938539013;0;0;0;0;-0.0102119549115517
Animalia;Chordata;Mammalia;Primates;Cercopithecidae;Macaca;Macaca_fascicularis;5076.8362;0.173127332015553;0;0;0;0;-0.00952091695351316
Animalia;Chordata;Mammalia;Carnivora;Mustelidae;Mustela;Mustela_nigripes;1497.506633343;0.192204424640376;0;0;0;0;-0.00940665814996301
Animalia;Chordata;Mammalia;Rodentia;Muridae;Mus;Mus_musculus;628.295;0.197274696210531;0;1;0;0;-0.00894135950885727
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Raphicerus;Raphicerus_campestris;1744.588433343;0.191711286159728;0;0;0;0;-0.00859078860930201
Animalia;Chordata;Mammalia;Primates;Cebidae;Alouatta;Alouatta_caraya;3750.594;0.181103819782551;0;0;0;0;-0.00857069205977368
NA;NA;NA;NA;NA;Mus;Mus_terricolor;435.665;0.199048717965163;0;0;0;0;-0.00818786704915773
Animalia;Chordata;Mammalia;Carnivora;Felidae;Panthera;Panthera_pardus;3400.645433343;0.183492343780228;0;0;0;0;-0.00803615115919014
Animalia;Chordata;Mammalia;Cetacea;Iniidae;Lipotes;Lipotes_vexillifer;4840.09;0.175950007554794;0;0;0;0;-0.00795249273838562
Animalia;Chordata;Mammalia;Carnivora;Mustelidae;Mustela;Mustela_putorius;1652.464383343;0.192843094070037;0;0;0;0;-0.00794704222519779
NA;NA;NA;NA;NA;Akodon;Akodon_montensis;589.388299099621;0.198517512330737;0;0;0;0;-0.00790466615269612
Animalia;Chordata;Mammalia;Primates;Callitrichidae;Saguinus;Saguinus_oedipus;2190;0.190091729823338;0;0;0;0;-0.0078506109890119
