Species,A_T,A_G,A_C,T_A,T_G,T_C,G_A,G_T,G_C,C_A,C_T,C_G,Class
Parus_monticolus,0,0.0118115646856502,0.00393718822855006,0,0,0.232031626269217,0.722362610083412,0,0,0.0042652872475959,0.0255917234855754,0,Aves
Cyanopica_cyanus,0.00572871465172986,0.0450750089799005,0.0143217866293247,0.0155650864160957,0.0081945475271889,0.237596339432846,0.46997317349432,0.0247553845956096,0.0494159857356536,0.0357523453952592,0.0892504180478717,0.00437120909420021,Aves
Pycnonotus_urostictus,0,0.0560893687352333,0.00862913365157435,0.0433009926636001,0,0.2381554596498,0.603374487935411,0,0,0.00720722248062585,0.0432433348837551,0,Aves
Leucopternis_albicollis,0,0,0.0191430472792204,0.0794326444574549,0,0.238297933372365,0.609762358923404,0,0,0.0266820079837783,0.0266820079837783,0,Aves
Phoenicurus_ochruros,0,0.0118086063748733,0.00590430318743666,0,0,0.239409971180899,0.674700827873444,0,0.0562250689894536,0,0.0119512223938935,0,Aves
Turdus_poliocephalus,0,0.0642649432813349,0,0.0119741518250692,0,0.239483036501385,0.645783113857163,0,0,0,0.0299403646383705,0.00855438989667728,Aves
Petroica_boodang,0,0.10844398308432,0.01807399718072,0.0480387819803348,0,0.240193909901674,0.391172938982727,0.0782345877965453,0,0,0.101361575939469,0.0144802251342099,Aves
Tregellasia_capito,0.0182725381697551,0.0548176145092654,0,0,0,0.240588419235109,0.618655935175995,0,0,0,0.0676654929098745,0,Aves
Xanthomixis_zosterops,0.00210978100610245,0.0343536578904109,0.00811499133583891,0.0230568924238339,0,0.241175699921083,0.589280609869066,0,0,0.0262605785241777,0.0756477890294876,0,Aves
Artamus_personatus,0,0.033859771297553,0.00846494282438825,0,0,0.243276150511788,0.599317951966688,0.0352539971745111,0,0.0184216583596318,0.0614055278654394,0,Aves
Coeligena_coeligena,0.00443499931671017,0.0576549911172322,0.00886999863342034,0,0,0.243345891847753,0.609300675357259,0,0,0.00545667455197325,0.0709367691756522,0,Aves
Certhia_familiaris,0.0195202640067225,0.0455472826823525,0.013013509337815,0.0117092600723324,0,0.245894461518981,0.485983491573528,0.0441803174157753,0,0.0319408127124985,0.102210600679995,0,Aves
Stiphrornis_erythrothorax,0,0.0156307980902431,0,0.110855265403171,0,0.249424347157135,0.588511041331541,0,0,0.0355785480179097,0,0,Aves
Sasia_ochracea,0,0.026692440418233,0,0,0,0.250600101777791,0.6424282270151,0,0,0,0.0802792307888763,0,Aves
Alophoixus_pallidus,0.00954217440212592,0.0286265232063778,0.00954217440212592,0,0,0.251850832580701,0.61451603149691,0,0,0.0490984365210059,0.0368238273907544,0,Aves
Zoothera_dauma,0.00720002946303617,0.00720002946303617,0,0,0,0.252001031206266,0.508802082054556,0,0.127200520513639,0.00975963072994672,0.0878366765695205,0,Aves
Iole_propinqua,0.0121073659273395,0.0887873501338229,0.016143154569786,0.0240172975901564,0,0.252181624696642,0.324282632595108,0.0512025209360697,0.0682700279147596,0.0489024076908947,0.108672017090877,0.00543360085454385,Aves
Carpodacus_vinaceus,0,0,0,0,0,0.252284680517737,0.658743332462979,0,0.0731937036069976,0.0157782834122869,0,0,Aves
Basileuterus_tristriatus,0.00640261208369059,0.0384156725021435,0.0112045711464585,0.0188533781550048,0,0.252635267277064,0.54907708840939,0,0.0196098960146211,0.0431175521402147,0.0606839622714132,0,Aves
Terpsiphone_rufiventer,0,0.141332838809243,0,0,0,0.253261287816472,0.493031659574924,0,0,0,0.0963207546851672,0.0160534591141945,Aves
Prunella_modularis,0,0.0168272685018262,0.0168272685018262,0,0,0.254205533061396,0.628958847209768,0,0,0.0207952706812961,0.0623858120438884,0,Aves
Pycnonotus_goiavier,0.00122961273429622,0.0258218674202207,0.0049184509371849,0.0119760215484967,0.0119760215484967,0.257484463292679,0.612119239319284,0.0124922293738629,0,0.00854925432075575,0.0534328395047235,0,Aves
Henicorhina_leucophrys,0.00638282009896919,0.064626053502063,0.00319141004948459,0.0246878363113701,0.012343918155685,0.259222281269386,0.533811874064882,0.00404402934897638,0.0202201467448819,0.0202819221559505,0.0502219024814012,0.000965805816950022,Aves
Setophaga_petechia,0,0.0695736889323938,0.0231037770073881,0,0,0.259914976194692,0.502175806887258,0,0,0.0190381720540831,0.126193578924185,0,Aves
Ithaginis_cruentus,0.00256403749040129,0.0122433893681353,0.0128201874520065,0.0363099068416221,0.0137710746872225,0.26103098057077,0.465156591290251,0.0339130241654964,0.0847825604137409,0.029988629922389,0.0461902126811577,0.00122940511680664,Aves
Chrysolophus_amherstiae,0,0.0413145396168826,0,0,0,0.267540334671826,0.604326403023419,0,0,0.0144697871146453,0.0723489355732263,0,Aves
Rhopocichla_atriceps,0,0.0264686232144788,0.00661715580361971,0.0268401126631031,0,0.268401126631031,0.377749733777007,0.0944374334442517,0.0944374334442517,0,0.105048381022257,0,Aves
